,HDI Rank (2017),Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,cluster
0,168,Afghanistan,190.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,2
13,136,Bangladesh,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,2
19,134,Bhutan,249.0,192.0,225.0,208.0,188.0,176.0,172.0,153.0,178.0,2
20,118,Bolivia (Plurinational State of),184.0,158.0,135.0,131.0,127.0,123.0,120.0,117.0,114.0,2
27,185,Burundi,290.0,195.0,144.0,138.0,133.0,128.0,126.0,122.0,118.0,2
28,125,Cabo Verde,160.0,153.0,147.0,145.0,144.0,143.0,138.0,139.0,137.0,2
30,151,Cameroon,309.0,311.0,260.0,251.0,242.0,235.0,220.0,212.0,203.0,2
33,186,Chad,151.0,151.0,151.0,151.0,151.0,151.0,159.0,152.0,153.0,2
39,176,Congo (Democratic Republic of the),327.0,327.0,327.0,327.0,327.0,326.0,325.0,324.0,323.0,2
45,170,Côte d'Ivoire,367.0,267.0,196.0,186.0,178.0,170.0,165.0,159.0,153.0,2
53,141,Equatorial Guinea,96.0,106.0,129.0,136.0,144.0,153.0,162.0,172.0,181.0,2
57,173,Ethiopia,421.0,341.0,268.0,253.0,239.0,224.0,207.0,192.0,177.0,2
62,174,Gambia,185.0,191.0,178.0,176.0,175.0,173.0,174.0,174.0,174.0,2
63,70,Georgia,254.0,175.0,127.0,122.0,119.0,116.0,106.0,99.0,92.0,2
65,140,Ghana,216.0,203.0,183.0,178.0,173.0,168.0,165.0,160.0,156.0,2
69,175,Guinea,228.0,210.0,186.0,183.0,180.0,177.0,177.0,177.0,176.0,2
72,168,Haiti,270.0,272.0,229.0,220.0,213.0,206.0,200.0,194.0,188.0,2
77,130,India,289.0,279.0,247.0,241.0,234.0,228.0,223.0,217.0,211.0,2
87,58,Kazakhstan,166.0,186.0,145.0,134.0,121.0,107.0,93.0,79.0,67.0,2
93,122,Kyrgyzstan,244.0,210.0,145.0,141.0,140.0,141.0,142.0,144.0,145.0,2
94,139,Lao People's Democratic Republic,330.0,270.0,221.0,213.0,204.0,197.0,189.0,182.0,175.0,2
98,181,Liberia,240.0,267.0,293.0,299.0,304.0,308.0,308.0,308.0,308.0,2
102,161,Madagascar,293.0,262.0,241.0,238.0,236.0,233.0,235.0,236.0,237.0,2
103,171,Malawi,392.0,397.0,332.0,312.0,294.0,261.0,227.0,193.0,159.0,2
108,106,Marshall Islands,81.0,267.0,460.0,331.0,344.0,353.0,336.0,326.0,422.0,2
109,159,Mauritania,250.0,181.0,135.0,128.0,121.0,115.0,111.0,107.0,102.0,2
112,131,Micronesia (Federated States of),106.0,115.0,198.0,179.0,174.0,181.0,226.0,124.0,177.0,2
115,92,Mongolia,162.0,228.0,205.0,191.0,183.0,189.0,192.0,197.0,183.0,2
122,149,Nepal,163.0,163.0,163.0,162.0,161.0,159.0,158.0,156.0,154.0,2
126,189,Niger,191.0,143.0,113.0,109.0,105.0,102.0,98.0,95.0,93.0,2
127,157,Nigeria,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,2
130,150,Pakistan,275.0,276.0,276.0,276.0,276.0,275.0,270.0,270.0,268.0,2
136,89,Peru,186.0,153.0,132.0,131.0,123.0,122.0,121.0,119.0,117.0,2
151,164,Senegal,155.0,141.0,136.0,136.0,136.0,136.0,138.0,139.0,140.0,2
154,184,Sierra Leone,305.0,316.0,317.0,316.0,314.0,313.0,310.0,307.0,304.0,2
159,n.a,Somalia,285.0,285.0,286.0,286.0,286.0,285.0,274.0,274.0,270.0,2
161,187,South Sudan,,,,146.0,146.0,146.0,146.0,146.0,146.0,2
169,127,Tajikistan,219.0,196.0,128.0,117.0,108.0,100.0,91.0,86.0,85.0,2
171,83,Thailand,241.0,224.0,181.0,176.0,172.0,170.0,171.0,172.0,172.0,2
180,n.a,Tuvalu,195.0,138.0,153.0,130.0,204.0,191.0,158.0,209.0,207.0,2
181,162,Uganda,276.0,233.0,210.0,207.0,205.0,203.0,202.0,202.0,201.0,2
190,116,Viet Nam,197.0,176.0,155.0,151.0,147.0,144.0,140.0,137.0,133.0,2
