,HDI Rank (2017),Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,cluster
104,57,Malaysia,75.0,69.0,76.0,80.0,86.0,91.0,92.0,88.0,92.0,0
105,101,Maldives,59.0,48.0,33.0,29.0,36.0,36.0,39.0,46.0,49.0,0
106,182,Mali,77.0,69.0,63.0,62.0,61.0,60.0,58.0,57.0,56.0,0
107,29,Malta,4.6,6.2,8.0,8.2,11.0,14.0,12.0,8.6,13.0,0
110,65,Mauritius,24.0,23.0,22.0,21.0,21.0,21.0,22.0,22.0,22.0,0
111,74,Mexico,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,0
113,112,Moldova (Republic of),80.0,142.0,116.0,119.0,124.0,127.0,115.0,102.0,101.0,0
114,n.a,Monaco,0.0,1.5,3.1,2.4,1.5,0.6,0.0,0.0,0.0,0
116,50,Montenegro,,29.0,20.0,20.0,18.0,22.0,21.0,15.0,16.0,0
117,123,Morocco,115.0,99.0,101.0,100.0,99.0,99.0,101.0,101.0,103.0,0
121,n.a,Nauru,46.0,125.0,34.0,57.0,67.0,78.0,90.0,113.0,112.0,0
123,10,Netherlands,9.0,7.9,7.1,6.7,6.3,5.7,5.5,5.8,5.9,0
124,16,New Zealand,10.0,9.2,7.9,7.9,7.5,6.9,7.5,7.3,7.3,0
125,124,Nicaragua,60.0,44.0,53.0,58.0,59.0,58.0,55.0,51.0,48.0,0
128,1,Norway,5.6,6.9,6.9,7.4,7.9,8.2,6.8,6.3,6.1,0
129,48,Oman,16.0,12.0,12.0,12.0,13.0,10.0,10.0,9.0,9.0,0
131,60,Palau,65.0,58.0,107.0,67.0,22.0,44.0,76.0,76.0,123.0,0
132,119,"Palestine, State of",3.2,1.0,0.9,1.0,0.9,1.1,1.2,1.1,1.0,0
133,66,Panama,48.0,61.0,53.0,55.0,50.0,47.0,47.0,52.0,55.0,0
135,110,Paraguay,42.0,43.0,42.0,43.0,44.0,40.0,39.0,41.0,42.0,0
138,33,Poland,33.0,25.0,21.0,24.0,21.0,21.0,20.0,19.0,18.0,0
139,41,Portugal,47.0,36.0,28.0,27.0,27.0,26.0,24.0,23.0,20.0,0
140,37,Qatar,54.0,43.0,37.0,33.0,40.0,30.0,23.0,25.0,23.0,0
141,52,Romania,143.0,140.0,105.0,97.0,92.0,89.0,86.0,82.0,74.0,0
142,49,Russian Federation,95.0,87.0,86.0,81.0,76.0,73.0,70.0,68.0,66.0,0
143,158,Rwanda,98.0,101.0,88.0,82.0,76.0,69.0,63.0,56.0,50.0,0
144,72,Saint Kitts and Nevis,0.0,0.0,4.5,2.2,4.4,0.0,15.0,5.4,0.0,0
145,90,Saint Lucia,6.6,9.8,6.0,4.6,7.2,5.9,3.9,9.1,1.9,0
146,99,Saint Vincent and the Grenadines,17.0,7.4,16.0,18.0,32.0,3.2,5.3,7.4,6.3,0
147,104,Samoa,28.0,15.0,8.6,12.0,13.0,13.0,14.0,11.0,7.7,0
148,n.a,San Marino,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149,143,Sao Tome and Principe,114.0,105.0,96.0,94.0,93.0,91.0,97.0,97.0,99.0,0
150,39,Saudi Arabia,19.0,17.0,19.0,16.0,15.0,13.0,12.0,12.0,10.0,0
152,67,Serbia,,40.0,30.0,28.0,24.0,27.0,24.0,21.0,19.0,0
153,62,Seychelles,28.0,18.0,21.0,26.0,25.0,30.0,16.0,9.8,15.0,0
155,9,Singapore,51.0,35.0,35.0,36.0,50.0,46.0,46.0,45.0,51.0,0
156,38,Slovakia,22.0,15.0,8.7,8.0,6.8,8.4,6.8,6.5,5.9,0
157,25,Slovenia,21.0,15.0,9.5,10.0,7.5,7.7,7.9,7.2,6.5,0
158,152,Solomon Islands,91.0,106.0,80.0,92.0,82.0,80.0,75.0,89.0,84.0,0
162,26,Spain,22.0,19.0,17.0,16.0,14.0,13.0,12.0,10.0,10.0,0
163,76,Sri Lanka,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,0
164,167,Sudan,128.0,117.0,107.0,105.0,103.0,100.0,94.0,88.0,82.0,0
165,100,Suriname,24.0,29.0,46.0,29.0,30.0,32.0,33.0,33.0,26.0,0
166,7,Sweden,5.4,6.9,7.5,6.5,7.1,7.3,7.5,9.2,8.2,0
167,2,Switzerland,9.3,8.0,7.5,7.6,6.0,6.6,5.9,7.3,7.8,0
168,155,Syrian Arab Republic,39.0,29.0,22.0,22.0,18.0,17.0,23.0,19.0,21.0,0
172,80,The former Yugoslav Republic of Macedonia,39.0,36.0,23.0,20.0,21.0,19.0,17.0,17.0,16.0,0
174,165,Togo,52.0,71.0,76.0,73.0,69.0,64.0,58.0,52.0,46.0,0
175,98,Tonga,28.0,20.0,12.0,9.9,12.0,11.0,14.0,15.0,8.6,0
176,69,Trinidad and Tobago,18.0,15.0,19.0,19.0,23.0,21.0,21.0,17.0,18.0,0
177,95,Tunisia,26.0,26.0,28.0,35.0,37.0,34.0,35.0,38.0,38.0,0
178,64,Turkey,33.0,33.0,25.0,24.0,22.0,20.0,20.0,18.0,18.0,0
179,108,Turkmenistan,112.0,84.0,79.0,66.0,70.0,71.0,59.0,68.0,60.0,0
182,88,Ukraine,114.0,127.0,110.0,105.0,101.0,96.0,94.0,91.0,87.0,0
183,34,United Arab Emirates,4.2,2.6,1.8,1.4,1.0,1.0,0.8,0.8,0.8,0
184,14,United Kingdom,12.0,15.0,14.0,15.0,14.0,13.0,11.0,10.0,9.9,0
185,13,United States,6.7,5.5,4.2,3.9,3.7,3.3,3.2,3.3,3.1,0
186,55,Uruguay,22.0,22.0,24.0,28.0,27.0,30.0,29.0,30.0,29.0,0
187,105,Uzbekistan,99.0,120.0,97.0,93.0,89.0,86.0,82.0,79.0,76.0,0
188,138,Vanuatu,110.0,83.0,69.0,67.0,65.0,62.0,63.0,63.0,56.0,0
189,78,Venezuela (Bolivarian Republic of),33.0,32.0,28.0,27.0,27.0,27.0,26.0,29.0,32.0,0
191,178,Yemen,116.0,80.0,52.0,50.0,48.0,48.0,48.0,48.0,48.0,0
