"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,
168,Haiti,270,,272,,229,,220,,213,,206,,200,,194,,188
133,Honduras,123,,57,,44,,48,,44,,43,,40,,41,,40
7,"Hong Kong, China (SAR)",104,,95,,81,,77,,78,,76,,76,,71,,69
45,Hungary,35,,21,,18,,15,,14,,12,,9.4,,10,,8.8
6,Iceland,5.3,,3.9,,7.9,,2.8,,3.5,,3.9,,2.8,,2.4,,2.1
130,India,289,,279,,247,,241,,234,,228,,223,,217,,211
116,Indonesia,449,,437,,415,,410,,407,,403,,399,,395,,391
60,Iran (Islamic Republic of),22,,16,,17,,18,,18,,18,,16,,16,,14
120,Iraq,50,,48,,45,,45,,45,,45,,43,,43,,43
4,Ireland,12,,12,,9.6,,9.6,,8.4,,8.7,,7.3,,7.2,,7.1
22,Israel,10,,6.5,,5.3,,6.3,,7.6,,4.5,,5.2,,4,,3.5
28,Italy,7,,7.5,,8.7,,6.6,,6,,5.8,,6.5,,6.7,,6.1
97,Jamaica,6,,4.1,,5.8,,4.6,,4,,4.2,,3.8,,4.5,,4.5
19,Japan,36,,24,,20,,20,,19,,18,,18,,16,,16
95,Jordan,7.5,,8,,5.9,,5.4,,5.2,,5.2,,5.5,,5.8,,5.6
58,Kazakhstan,166,,186,,145,,134,,121,,107,,93,,79,,67
142,Kenya,451,,630,,531,,506,,471,,443,,423,,380,,348
134,Kiribati,373,,449,,348,,410,,406,,469,,469,,552,,566
n.a,Korea (Democratic People's Rep. of),513,,513,,513,,513,,513,,513,,513,,513,,513
22,Korea (Republic of),49,,94,,95,,99,,94,,89,,85,,79,,77
56,Kuwait,29,,26,,37,,24,,25,,22,,22,,22,,24
122,Kyrgyzstan,244,,210,,145,,141,,140,,141,,142,,144,,145
139,Lao People's Democratic Republic,330,,270,,221,,213,,204,,197,,189,,182,,175
41,Latvia,122,,75,,51,,50,,50,,50,,49,,40,,37
80,Lebanon,20,,11,,14,,12,,15,,15,,14,,13,,12
159,Lesotho,992,,1280,,1120,,1050,,985,,916,,852,,788,,724
181,Liberia,240,,267,,293,,299,,304,,308,,308,,308,,308
108,Libya,40,,40,,40,,40,,40,,40,,40,,40,,40
35,Lithuania,102,,86,,73,,70,,68,,65,,62,,55,,53
21,Luxembourg,12,,9.3,,6.6,,5.5,,9.7,,8,,5,,6.1,,5.8
161,Madagascar,293,,262,,241,,238,,236,,233,,235,,236,,237
171,Malawi,392,,397,,332,,312,,294,,261,,227,,193,,159
57,Malaysia,75,,69,,76,,80,,86,,91,,92,,88,,92
101,Maldives,59,,48,,33,,29,,36,,36,,39,,46,,49
182,Mali,77,,69,,63,,62,,61,,60,,58,,57,,56
29,Malta,4.6,,6.2,,8,,8.2,,11,,14,,12,,8.6,,13
106,Marshall Islands,81,,267,,460,,331,,344,,353,,336,,326,,422
159,Mauritania,250,,181,,135,,128,,121,,115,,111,,107,,102
65,Mauritius,24,,23,,22,,21,,21,,21,,22,,22,,22
74,Mexico,23,,21,,21,,21,,21,,21,,21,,21,,22
131,Micronesia (Federated States of),106,,115,,198,,179,,174,,181,,226,,124,,177
112,Moldova (Republic of),80,,142,,116,,119,,124,,127,,115,,102,,101
n.a,Monaco,0,,1.5,,3.1,,2.4,,1.5,,0.6,,0,,0,,0
92,Mongolia,162,,228,,205,,191,,183,,189,,192,,197,,183
50,Montenegro,,,29,,20,,20,,18,,22,,21,,15,,16
123,Morocco,115,,99,,101,,100,,99,,99,,101,,101,,103
180,Mozambique,513,,523,,545,,548,,551,,551,,551,,551,,551
