,HDI Rank (2017),Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,cluster
56,144,Eswatini (Kingdom of),831.0,1180.0,1260.0,1020.0,861.0,783.0,647.0,485.0,398.0,3
97,159,Lesotho,992.0,1280.0,1120.0,1050.0,985.0,916.0,852.0,788.0,724.0,3
160,113,South Africa,585.0,932.0,948.0,922.0,892.0,860.0,834.0,807.0,781.0,3
